query,expected_response
What endpoint do I call to use serverless inference on DigitalOcean?,https://inference.do-ai.run/v1/chat/completions — an OpenAI-compatible Chat Completions API.
Is DigitalOcean serverless inference API compatible with the OpenAI SDK?,Yes. The API is OpenAI-compatible; point the OpenAI SDK base URL at https://inference.do-ai.run/v1 and use a DigitalOcean inference key.
How do I get token usage back when streaming a chat completion?,Set stream_options.include_usage to true; a final chunk containing the usage object is sent at the end of the stream.
Can I query a GenAI Platform knowledge base directly through a standalone API?,No. Knowledge bases are queryable only through an agent; call the agent endpoint's chat completions API and the agent performs retrieval.
How do I see which knowledge base chunks an agent retrieved for an answer?,"Pass include_retrieval_info in the request to the agent endpoint; the response includes a retrieval object with retrieved_data entries (source filename, score)."
How do I see whether guardrails fired on an agent response?,Pass include_guardrails_info in the request; the response includes a guardrails object listing triggered guardrails.
What URL do I use to chat with a GenAI Platform agent?,"The agent's own endpoint URL followed by /api/v1/chat/completions, authenticated with an agent access key."
Do I pass a model parameter when calling a GenAI Platform agent endpoint?,No. The agent's model is configured on the agent itself; the request does not select a model.
What routing policies does the DigitalOcean Inference Router support?,"Three selection policies: Cost Efficiency (cheapest model in the pool), Speed Optimization (based on time-to-first-token latency), and Manual Ranking (a predetermined ordered sequence)."
What happens if the model an inference router selected is down or rate limited?,The router automatically falls back and picks the next best model in the pool.
How do I invoke an inference router in a chat completions request?,"Prefix the router name with router: in the model field, for example ""model"": ""router:my-router"", against the standard serverless inference endpoint."
How many models can an inference router task pool contain?,A maximum of 3 models per task pool.
How much latency overhead does the inference router add?,Approximately 200 ms per request.
Why would I use session affinity with an inference router in an agent loop?,To pin a session to the same model so KV cache consistency is maintained across the agent's successive calls.
What candidate types can DigitalOcean Evaluations compare?,"Serverless inference models, third-party models, dedicated inference deployments, and model router configurations."
What framework do DigitalOcean Evaluations use to score responses?,An LLM-as-a-judge framework: a selected judge model scores each candidate response against the chosen metrics and provides a rationale.
What built-in metrics are available in DigitalOcean Evaluations?,"Correctness, Completeness, Ground Truth Faithfulness (higher is better), and Bias, Toxicity, PII Leakage (lower is better). Custom metrics can also be defined."
What is the star metric in a DigitalOcean evaluation run?,"The primary metric for the run, paired with a pass threshold that determines which scores count as passing. The default star metric is Correctness."
What file formats does an evaluation dataset accept?,"CSV or JSONL, under 1,000 rows and less than 1 GB."
What columns does an evaluation dataset CSV need?,A required query column with the prompts; an optional expected_response column with ground truth for metrics that compare against reference answers.
How large should an evaluation dataset be for fast feedback?,Around 50 to 100 queries is recommended for faster feedback and lower evaluation cost.
Which evaluation metric requires ground truth in the dataset?,Ground Truth Faithfulness requires an expected_response reference answer for each query.
Can I run DigitalOcean Evaluations on an agent built with the Agent Development Kit?,No. Agent evaluations are not available for agents built with the ADK.
What does the Model Playground let me do?,"Test and compare foundation models interactively: tune parameters, run the same prompt against models side by side, and copy the equivalent API request."
How do I compare two models side by side in the Model Playground?,"Click Compare Another Model to open the comparison view, and toggle Sync Inputs to send the same prompt to both models simultaneously."
How do I turn a Model Playground session into code?,Open the settings gear icon and copy the generated API request for the current model and parameters.
What does the temperature parameter control?,"The randomness of sampling; lower values make output more deterministic, higher values more varied. A 0 to 1 range is recommended in the playground."
What does the top_p parameter control?,The cumulative probability threshold for token selection: the model samples only from the smallest set of tokens whose probabilities sum to top_p.
What does the max tokens setting limit?,The maximum number of output tokens the model may generate for the response.
Why did my Kimi K3 request return an empty message with finish_reason length?,"K3 is a reasoning-first model: it spends completion tokens on reasoning before visible text. With a small max_tokens budget the reasoning consumes the entire budget, leaving zero visible output. Raise max_tokens."
Where do a reasoning model's thinking tokens show up in the usage object?,Under completion_tokens_details.reasoning_tokens within usage; they are billed as completion tokens.
How should I set the completion token budget for a reasoning model like Kimi K3?,"Generously — reasoning tokens come out of the same completion budget as visible text, so budgets sized for non-reasoning models truncate answers. On the order of a couple thousand tokens is a sensible floor."
Why might a streaming connection through a proxy drop while a reasoning model is thinking?,"During the reasoning phase the model emits no visible tokens, so the connection can sit silent long enough to trip proxy idle timeouts. Send SSE keepalive comments during silence to hold the connection open."
How do I estimate the cost of a single model answer?,"Multiply prompt tokens by the input price per million tokens and completion tokens (including reasoning tokens) by the output price per million tokens, then sum."
Why did my prompt token count jump after attaching a knowledge base to my agent?,"Retrieved knowledge base chunks are injected into the prompt before the model runs, so prompt tokens grow by the size of the injected context. A flat prompt count with zero retrievals means retrieval is not happening."
"What is a quick way to verify RAG is actually working on my agent, beyond reading the answer?","Check two signals: retrieval info reports retrieved chunks greater than zero, and prompt tokens are inflated by the injected chunks relative to a bare-persona baseline."
What are DigitalOcean knowledge bases backed by for vector search?,A managed OpenSearch cluster stores and serves the indexed embeddings.
What is batch inference for?,"Submitting large volumes of non-interactive requests to be processed asynchronously, trading latency for throughput and cost efficiency."
When should I choose a dedicated inference endpoint over serverless?,"When you need reserved capacity and predictable latency or throughput for sustained load, rather than paying per token on shared serverless capacity."
When should I choose serverless inference over a dedicated deployment?,"For spiky, variable, or low-volume workloads where per-token pricing and zero infrastructure management beat reserving capacity."
What is an agent in the DigitalOcean GenAI Platform?,"A managed deployment that wraps a foundation model with instructions, optional knowledge bases, guardrails, and routes, exposed behind its own authenticated endpoint."
How does a knowledge base get content into an agent's answers?,The platform chunks and embeds the indexed sources; at query time the agent retrieves the most relevant chunks and injects them into the model's context before generating.
What chunking decision most affects retrieval quality for a knowledge base?,"Chunk size and overlap: chunks must be small enough to be specific but large enough to carry self-contained meaning, so retrieval returns usable context rather than fragments."
Why is the answer quality of a RAG agent limited by its knowledge base indexing?,"The model can only ground answers in chunks retrieval returns; if indexing is stale or the relevant document was never chunked and embedded, the model falls back on its base knowledge and may confabulate."
How can I compare a router configuration against a single model objectively?,Run a DigitalOcean evaluation with the router and the individual model as candidates over the same dataset and compare their star-metric scores.
What guardrail categories are typically enforced on a public-facing agent?,"Content safety filters such as toxicity and harmful content, sensitive data detection like PII leakage, and jailbreak or prompt-injection detection."
Why should a public demo agent have a daily token budget that fails closed?,"So an outage in the budget accounting can never turn into unlimited spend: if the budget cannot be read, the demo refuses requests instead of serving them unmetered."
"Besides per-request caps, what rails should front a public LLM demo?","A kill switch, a global daily token budget, per-session turn caps, per-IP rate limits, input size caps, and stripping client-supplied system or tool roles from history."
What is the benefit of a content-free ledger for a public chat demo?,"Operational telemetry (tokens, latency, retrievals, cost) is recorded per turn without storing message text, so usage can be metered and debugged without retaining user content."
What does time-to-first-token measure and why does it matter for chat UX?,"The delay between sending the request and receiving the first output token; it dominates perceived responsiveness in streaming chat, independent of total generation time."
What does tokens-per-second measure in a streaming response?,"Generation throughput: completion tokens divided by generation time after the first token, reflecting how fast visible text renders once output starts."
"An agent's answers are correct but slow and expensive. Using DigitalOcean platform features, how would you fix that without losing quality?","Put a router in front with a cost or speed policy over a pool including cheaper models, then run evaluations with the router as a candidate against the original model on a domain dataset to verify the star metric holds before switching production traffic."
A workload sends 1M input tokens and generates 200K output tokens per day on a model priced $3 per million input and $15 per million output. What is the daily cost?,"$6.00 per day: 1M input x $3/M = $3.00, plus 200K output x $15/M = $3.00."
"My agent handles 40,000 questions per month, averaging 2,000 prompt tokens and 500 completion tokens each, on Kimi K3 at $3/$15 per million tokens. What is the monthly model cost?","$540 per month: 40,000 x 2,000 = 80M prompt tokens ($240) plus 40,000 x 500 = 20M completion tokens ($300)."
